experiment,scenario,value,policy,n_seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,p_c5_viol_mean,p_c5_viol_std,p_c6_viol_mean,p_c6_viol_std,p_c6_exceed_ratio_mean,p_c6_exceed_ratio_std,p_c7_viol_mean,p_c7_viol_std,p_c8_viol_mean,p_c8_viol_std,mean_c5_excess_ratio_mean,mean_c5_excess_ratio_std,mean_overflow_prob_mean,mean_overflow_prob_std,mean_m1_excess_cond_mean,mean_m1_excess_cond_std,mean_m2_excess_cond_mean,mean_m2_excess_cond_std,mean_offload_ratio_mean,mean_offload_ratio_std,total_energy_mean,total_energy_std,avg_energy_per_slot_user_mean,avg_energy_per_slot_user_std,action_0_ratio_mean,action_0_ratio_std,action_1_ratio_mean,action_1_ratio_std,action_2_ratio_mean,action_2_ratio_std,action_3_ratio_mean,action_3_ratio_std,action_4_ratio_mean,action_4_ratio_std,action_5_ratio_mean,action_5_ratio_std,action_6_ratio_mean,action_6_ratio_std,action_7_ratio_mean,action_7_ratio_std
stress_scan,load_scale,0.5,Full,3,15,0.5,1.0,1.0,1.0,2000,0.7,0.9624444444444445,0.0014600298773649852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.75587315975304,1.038139139137769,0.0,0.0,0.0,0.0,0.0,0.0,0.04996296296296284,0.0016338329629713097,2535966.6581128393,241843.0352274938,281.7740731236488,26.87144835861042,0.0,0.0,0.0,0.0,0.0,0.0,0.950037037037037,0.0016338329629713192,0.009444444444444445,0.0003142696805273542,0.009703703703703704,0.000908729196028541,0.009,0.000725774738602423,0.021814814814814815,0.00036664796061524626
stress_scan,load_scale,0.5,IQL,3,15,0.5,1.0,1.0,1.0,2000,0.7,0.9622592592592593,0.0012711853556838168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.8550559711111,0.4522629919792978,0.0,0.0,0.0,0.0,0.0,0.0,0.04970370370370358,0.001653860263834519,2145819.7137248586,155587.7417336744,238.42441263609538,17.287526859297156,0.0,0.0,0.0,0.0,0.0,0.0,0.9502962962962963,0.001653860263834526,0.009518518518518518,0.0003434673516850261,0.009592592592592592,0.0007608384660805236,0.009444444444444445,0.0007200822998230957,0.02114814814814815,0.0008231892878108476
stress_scan,load_scale,0.5,No-EVT,3,15,0.5,1.0,1.0,1.0,2000,0.7,0.9624444444444445,0.0014600298773649852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.75587315975304,1.038139139137769,0.0,0.0,0.0,0.0,0.0,0.0,0.04996296296296284,0.0016338329629713097,2535966.6581128393,241843.0352274938,281.7740731236488,26.87144835861042,0.0,0.0,0.0,0.0,0.0,0.0,0.950037037037037,0.0016338329629713192,0.009444444444444445,0.0003142696805273542,0.009703703703703704,0.000908729196028541,0.009,0.000725774738602423,0.021814814814814815,0.00036664796061524626
stress_scan,load_scale,0.5,C6-Only,3,15,0.5,1.0,1.0,1.0,2000,0.7,0.9624444444444445,0.0014600298773649852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.75587315975304,1.038139139137769,0.0,0.0,0.0,0.0,0.0,0.0,0.04996296296296284,0.0016338329629713097,2535966.6581128393,241843.0352274938,281.7740731236488,26.87144835861042,0.0,0.0,0.0,0.0,0.0,0.0,0.950037037037037,0.0016338329629713192,0.009444444444444445,0.0003142696805273542,0.009703703703703704,0.000908729196028541,0.009,0.000725774738602423,0.021814814814814815,0.00036664796061524626
stress_scan,load_scale,0.5,Lyapunov-Greedy,3,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.24043070814815,0.06972512306617416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4300000000000144,0.0,0.0002700000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Non-MEC,3,15,0.5,1.0,1.0,1.0,2000,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.24043070814815,0.06972512306617416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4300000000000144,0.0,0.0002700000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Stand-alone MEC,3,15,0.5,1.0,1.0,1.0,2000,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6002486.972966882,2221.2992635935807,666.9429969963203,0.24681102928817078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
stress_scan,load_scale,0.5,Random,3,15,0.5,1.0,1.0,1.0,2000,0.7,0.7511481481481481,0.0014353942500056045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.6446298498765,4.574009183216144,0.0,0.0,0.0,0.0,0.0,0.0,0.4975925925925926,0.0027967255005407967,13305324.549337264,357270.0214411143,1478.3693943708072,39.696669049012705,0.12666666666666668,0.0010886621079036394,0.1257037037037037,0.0031963628163542827,0.12537037037037038,0.0015981814081771407,0.12466666666666666,0.0060966158054969605,0.12355555555555556,0.002257133182991496,0.12518518518518518,0.0031950750853614457,0.12366666666666666,0.00296620193335939,0.12518518518518518,0.003453790585740674
stress_scan,load_scale,1.0,Full,3,15,1.0,1.0,1.0,1.0,2000,0.7,0.9600000000000001,0.0011793839502289136,0.1494814814814815,0.027242295446230264,0.2,0.0,0.06666666666666667,0.05443310539518174,0.0,0.0,504.2697418081481,0.9066012231510779,0.1494814814814815,0.027242295446230264,891788.6082490195,113761.6171084463,5872814519790.849,890051669427.51,0.04962962962962951,0.0016488762436705142,4464733.174642231,1223465.5979937576,496.0814638491368,135.9406219993064,0.0,0.0,0.0,0.0,0.0,0.0,0.9503703703703703,0.0016488762436704966,0.009962962962962963,0.000999313893572744,0.010407407407407407,0.001051486634561362,0.009703703703703704,0.0009310966733315954,0.019555555555555555,0.0009558139185602917
stress_scan,load_scale,1.0,IQL,3,15,1.0,1.0,1.0,1.0,2000,0.7,0.9596666666666667,0.0014171204792377075,0.04044444444444444,0.005946953433820791,0.1111111111111111,0.03142696805273545,0.0,0.0,0.0,0.0,504.14689566913563,0.9157428566294668,0.04044444444444444,0.005946953433820791,218449.4733547806,43428.93734700908,670284769043.7854,79248315329.21643,0.04988888888888877,0.0018525924445036673,3783501.267061006,230136.3671831097,420.38902967344507,25.57070746478995,0.0,0.0,0.0,0.0,0.0,0.0,0.9501111111111111,0.0018525924445036588,0.010074074074074074,0.0002916299212596966,0.010185185185185184,0.0005761610809668163,0.010037037037037037,0.0007926272058901002,0.019592592592592592,0.0007926272058900994
stress_scan,load_scale,1.0,No-EVT,3,15,1.0,1.0,1.0,1.0,2000,0.7,0.9600000000000001,0.0011793839502289136,0.1494814814814815,0.027242295446230264,0.2,0.0,0.06666666666666667,0.05443310539518174,0.0,0.0,504.2697418081481,0.9066012231510779,0.1494814814814815,0.027242295446230264,891788.6082490195,113761.6171084463,5872814519790.849,890051669427.51,0.04962962962962951,0.0016488762436705142,4464733.174642231,1223465.5979937576,496.0814638491368,135.9406219993064,0.0,0.0,0.0,0.0,0.0,0.0,0.9503703703703703,0.0016488762436704966,0.009962962962962963,0.000999313893572744,0.010407407407407407,0.001051486634561362,0.009703703703703704,0.0009310966733315954,0.019555555555555555,0.0009558139185602917
stress_scan,load_scale,1.0,C6-Only,3,15,1.0,1.0,1.0,1.0,2000,0.7,0.9600000000000001,0.0011793839502289136,0.1494814814814815,0.027242295446230264,0.2,0.0,0.06666666666666667,0.05443310539518174,0.0,0.0,504.2697418081481,0.9066012231510779,0.1494814814814815,0.027242295446230264,891788.6082490195,113761.6171084463,5872814519790.849,890051669427.51,0.04962962962962951,0.0016488762436705142,4464733.174642231,1223465.5979937576,496.0814638491368,135.9406219993064,0.0,0.0,0.0,0.0,0.0,0.0,0.9503703703703703,0.0016488762436704966,0.009962962962962963,0.000999313893572744,0.010407407407407407,0.001051486634561362,0.009703703703703704,0.0009310966733315954,0.019555555555555555,0.0009558139185602917
stress_scan,load_scale,1.0,Lyapunov-Greedy,3,15,1.0,1.0,1.0,1.0,2000,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.4808614162963,0.13945024613234833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4300000000000144,0.0,0.0002700000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
