experiment,scenario,value,policy,n_seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,p_c5_viol_mean,p_c5_viol_std,p_c6_viol_mean,p_c6_viol_std,p_c6_exceed_ratio_mean,p_c6_exceed_ratio_std,p_c7_viol_mean,p_c7_viol_std,p_c8_viol_mean,p_c8_viol_std,mean_c5_excess_ratio_mean,mean_c5_excess_ratio_std,mean_overflow_prob_mean,mean_overflow_prob_std,mean_m1_excess_cond_mean,mean_m1_excess_cond_std,mean_m2_excess_cond_mean,mean_m2_excess_cond_std,mean_offload_ratio_mean,mean_offload_ratio_std,total_energy_mean,total_energy_std,avg_energy_per_slot_user_mean,avg_energy_per_slot_user_std,action_0_ratio_mean,action_0_ratio_std,action_1_ratio_mean,action_1_ratio_std,action_2_ratio_mean,action_2_ratio_std,action_3_ratio_mean,action_3_ratio_std,action_4_ratio_mean,action_4_ratio_std,action_5_ratio_mean,action_5_ratio_std,action_6_ratio_mean,action_6_ratio_std,action_7_ratio_mean,action_7_ratio_std
stress_scan,load_scale,0.5,Full,3,15,0.5,1.0,1.0,1.0,500,0.7,0.9594074074074073,0.006535331851885365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.9954121150617,0.41673331782313716,0.0,0.0,0.0,0.0,0.0,0.0,0.05377777777777777,0.008203181155500509,729400.7514313147,279596.688499123,324.178111747251,124.26519488849908,0.0,0.0,0.0,0.0,0.0,0.0,0.9462222222222222,0.008203181155500536,0.008296296296296296,0.0030863209860740237,0.013481481481481481,0.0019986277871454875,0.008444444444444445,0.0019202194661949216,0.023555555555555555,0.0019202194661949218
stress_scan,load_scale,0.5,IQL,3,15,0.5,1.0,1.0,1.0,500,0.7,0.9588148148148149,0.005764467098768549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.6209296790123,1.143075138927333,0.0,0.0,0.0,0.0,0.0,0.0,0.05377777777777777,0.006923449745509867,467139.5844043685,113299.67126099499,207.6175930686082,50.35540944933109,0.0,0.0,0.0,0.0,0.0,0.0,0.9462222222222222,0.006923449745509905,0.009333333333333334,0.0026168180344675104,0.01214814814814815,0.0020634649299532026,0.008148148148148147,0.001636349780324039,0.024148148148148148,0.0022172784514215946
stress_scan,load_scale,0.5,No-EVT,3,15,0.5,1.0,1.0,1.0,500,0.7,0.9594074074074073,0.006535331851885365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.9954121150617,0.41673331782313716,0.0,0.0,0.0,0.0,0.0,0.0,0.05377777777777777,0.008203181155500509,729400.7514313147,279596.688499123,324.178111747251,124.26519488849908,0.0,0.0,0.0,0.0,0.0,0.0,0.9462222222222222,0.008203181155500536,0.008296296296296296,0.0030863209860740237,0.013481481481481481,0.0019986277871454875,0.008444444444444445,0.0019202194661949216,0.023555555555555555,0.0019202194661949218
stress_scan,load_scale,0.5,C6-Only,3,15,0.5,1.0,1.0,1.0,500,0.7,0.9594074074074073,0.006535331851885365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.9954121150617,0.41673331782313716,0.0,0.0,0.0,0.0,0.0,0.0,0.05377777777777777,0.008203181155500509,729400.7514313147,279596.688499123,324.178111747251,124.26519488849908,0.0,0.0,0.0,0.0,0.0,0.0,0.9462222222222222,0.008203181155500536,0.008296296296296296,0.0030863209860740237,0.013481481481481481,0.0019986277871454875,0.008444444444444445,0.0019202194661949216,0.023555555555555555,0.0019202194661949218
stress_scan,load_scale,0.5,Lyapunov-Greedy,3,15,0.5,1.0,1.0,1.0,500,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.33189010962957,0.1621502474602364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6074999999999998,0.0,0.0002699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Non-MEC,3,15,0.5,1.0,1.0,1.0,500,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.33189010962957,0.1621502474602364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6074999999999998,0.0,0.0002699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,0.5,Stand-alone MEC,3,15,0.5,1.0,1.0,1.0,500,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1500387.7075044147,1278.7817755780106,666.8389811130731,0.5683474558124627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
stress_scan,load_scale,0.5,Random,3,15,0.5,1.0,1.0,1.0,500,0.7,0.7454814814814815,0.0018621933466631186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.9213455392593,22.931525225514495,0.0,0.0,0.0,0.0,0.0,0.0,0.5100740740740739,0.0036529860758334515,3300681.9263774413,59305.77996983877,1466.9697450566407,26.35812443103943,0.12237037037037037,0.004237140635874104,0.11837037037037038,0.0029106492895390364,0.12503703703703706,0.00447887895046844,0.12414814814814815,0.006392725632708569,0.12474074074074074,0.003980749286679816,0.13525925925925927,0.004359685620611019,0.12681481481481482,0.008197828345041142,0.12325925925925926,0.0025745403254789313
stress_scan,load_scale,1.0,Full,3,15,1.0,1.0,1.0,1.0,500,0.7,0.9562962962962962,0.007269833568228306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.6464263832098,1.7526349097594198,0.0,0.0,0.0,0.0,0.0,0.0,0.05437037037037036,0.008411893076490876,1417978.881657553,463321.18419225037,630.2128362922458,205.92052630766685,0.0,0.0,0.0,0.0,0.0,0.0,0.9456296296296296,0.008411893076490873,0.009481481481481481,0.0031705088235604,0.013185185185185185,0.002955546273075556,0.009185185185185185,0.0014665918424609874,0.022518518518518518,0.00127441855808039
stress_scan,load_scale,1.0,IQL,3,15,1.0,1.0,1.0,1.0,500,0.7,0.9586666666666668,0.006039649514263659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.467975782716,2.0547661232128998,0.0,0.0,0.0,0.0,0.0,0.0,0.05288888888888888,0.00755119699992571,880148.6526520393,299339.3582855924,391.17717895646194,133.0397147935966,0.0,0.0,0.0,0.0,0.0,0.0,0.9471111111111111,0.007551196999925731,0.008,0.0029703611341871734,0.012888888888888889,0.0016629588385661963,0.008592592592592593,0.002095131203515696,0.023407407407407408,0.0019986277871454883
stress_scan,load_scale,1.0,No-EVT,3,15,1.0,1.0,1.0,1.0,500,0.7,0.9562962962962962,0.007269833568228306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.6464263832098,1.7526349097594198,0.0,0.0,0.0,0.0,0.0,0.0,0.05437037037037036,0.008411893076490876,1417978.881657553,463321.18419225037,630.2128362922458,205.92052630766685,0.0,0.0,0.0,0.0,0.0,0.0,0.9456296296296296,0.008411893076490873,0.009481481481481481,0.0031705088235604,0.013185185185185185,0.002955546273075556,0.009185185185185185,0.0014665918424609874,0.022518518518518518,0.00127441855808039
stress_scan,load_scale,1.0,C6-Only,3,15,1.0,1.0,1.0,1.0,500,0.7,0.9562962962962962,0.007269833568228306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.6464263832098,1.7526349097594198,0.0,0.0,0.0,0.0,0.0,0.0,0.05437037037037036,0.008411893076490876,1417978.881657553,463321.18419225037,630.2128362922458,205.92052630766685,0.0,0.0,0.0,0.0,0.0,0.0,0.9456296296296296,0.008411893076490873,0.009481481481481481,0.0031705088235604,0.013185185185185185,0.002955546273075556,0.009185185185185185,0.0014665918424609874,0.022518518518518518,0.00127441855808039
stress_scan,load_scale,1.0,Lyapunov-Greedy,3,15,1.0,1.0,1.0,1.0,500,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.6637802192591,0.3243004949204728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6074999999999998,0.0,0.0002699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,1.0,Non-MEC,3,15,1.0,1.0,1.0,1.0,500,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.6637802192591,0.3243004949204728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6074999999999998,0.0,0.0002699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_scan,load_scale,1.0,Stand-alone MEC,3,15,1.0,1.0,1.0,1.0,500,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11305681.278445598,12868.183312539208,5024.747234864711,5.71919258335078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
stress_scan,load_scale,1.0,Random,3,15,1.0,1.0,1.0,1.0,500,0.7,0.7287407407407407,0.0030863209860740627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.0363207081481,43.81777031888198,0.0,0.0,0.0,0.0,0.0,0.0,0.5100740740740739,0.0036529860758334515,6392748.750555935,261586.44435169676,2841.221666913749,116.2606419340874,0.12237037037037037,0.004237140635874104,0.11837037037037038,0.0029106492895390364,0.12503703703703706,0.00447887895046844,0.12414814814814815,0.006392725632708569,0.12474074074074074,0.003980749286679816,0.13525925925925927,0.004359685620611019,0.12681481481481482,0.008197828345041142,0.12325925925925926,0.0025745403254789313
stress_scan,load_scale,1.5,Full,3,15,1.5,1.0,1.0,1.0,500,0.7,0.9562962962962963,0.0069266190978139325,0.11303703703703705,0.032933569916345884,0.15555555555555556,0.0628539361054709,0.0,0.0,0.0,0.0,748.6824352607409,6.058906695551871,0.11303703703703705,0.032933569916345884,345547.66198349,117395.79233725058,1028090683460.6942,493246600842.67535,0.05481481481481481,0.008388377876676763,1973727.3706104336,836450.4716771855,877.2121647157483,371.75576518986026,0.0,0.0,0.0,0.0,0.0,0.0,0.9451851851851852,0.008388377876676782,0.009185185185185185,0.0036349167841141622,0.012444444444444444,0.002379611615438372,0.009333333333333334,0.0003628873693012115,0.023851851851851853,0.002333039370077573
stress_scan,load_scale,1.5,IQL,3,15,1.5,1.0,1.0,1.0,500,0.7,0.9571851851851851,0.007123446091953325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.3297812814816,2.9771266030722785,0.0,0.0,0.0,0.0,0.0,0.0,0.05348148148148147,0.007439928610067971,1667865.1914753509,552908.0563433549,741.2734184334893,245.73691393037998,0.0,0.0,0.0,0.0,0.0,0.0,0.9465185185185185,0.0074399286100679555,0.008888888888888889,0.0033259176771323925,0.013185185185185185,0.0008380524814062784,0.008592592592592593,0.0017900808849769735,0.022814814814814816,0.0022172784514215946
